Protein	EIF4A2_1	EIF4A2_2	EIF4A2_3	MEPCE_1	MEPCE_2	MEPCE_3	GFP_1	GFP_2	GFP_3
RPS27L	6342.98291	6336.599609	7658.873047	11730.04883	11016.40234	11439.18359	9538.097656	11677.47656	10888.01172
RPS28	29999.02539	36192.78516	37135.84766	49634.30859	47259.3125	44659.5625	51223.37109	49375.34766	46726.64062
RPS29	66832.3125	68389.5625	68701.21875	87002.38281	91306.72656	91687.30469	73009.125	76207.21875	77506.40625
RPS3	41150.14453	46314.22656	48058.28125	88736.5625	91740.17188	90750.96875	54011.92969	49239.33594	52883.15234
RPS3A	5686.953125	7303.40625	7067.532227	24152.50195	23380.23047	25215.125	6141.11084	6139.183105	5954.970703
RPS4X	21301.60547	25723.375	22535.07031	36134.95703	40297.75	35584.97266	21211.06055	22364.55664	24621.81445
RPS5	22620.89453	25433.72656	25036.57617	33222.22266	32861.17969	34506.16016	25799.26172	25122.19141	27275.19141
RPS6	7043.900391	8141.239746	8820.036133	15315.43262	15932.78418	15834.96289	6372.82666	7047.704102	7441.472168
RPS7	16750.10938	18439.3125	18881.34375	29750.67188	32355.59375	33667.26562	19482.92578	17264.78906	19530.73047
RPS8	3467.192139	3148.282959	3013.186279	8417.700195	8830.555664	9235.286133	2889.525879	2763.871582	2695.472168
RPS9	14231.99805	14413.98828	15303.23242	32804.20312	31566.37695	33660.22656	12551.46875	11891.96973	12032.87695
RPSA	1179.368896	1148.174194	1137.658569	1152.232544	1224.468018	1300.823486	946.5765381	858.637085	902.9042969
RRP12	1030.36731	1162.789673	1168.887695	1500.594727	1376.585205	1645.665771	1077.455322	1000.105347	838.5916138
RRP1B	1563.364014	1557.719849	2135.131836	3145.220215	2903.993408	2836.518066	1516.561401	1563.643799	1719.651489
RRP36	318.8877563	571.6495361	714.852417	861.5994873	925.0986938	812.972168	765.6368408	562.7086792	545.9901733
RSL1D1	1011.56073	646.857666	1483.342163	2838.189941	2447.424072	2859.831543	864.1773071	775.3614502	644.6710205
RSRC1	2801.588867	3511.569336	3393.175781	3228.813721	3743.13208	3569.188477	2690.536133	2652.086182	2502.537598
RSRC2	9863.574219	9620.277344	12001.61133	16385.70117	16280.44922	17165.14844	11743.35938	11832.24023	12549.94336
RTCA	188.8980103	410.9821777	376.1592102	806.3436279	922.7123413	909.4846802	233.1221924	240.3228455	417.4412231
RTCB	3185.76123	3594.728516	3313.771484	3373.666504	3457.683594	3418.188965	4438.945801	3888.806641	3886.332764
RTN3	1448.375122	1296.095337	1314.1875	1883.369385	1854.476318	1903.057617	2032.179321	1667.081421	2003.983643
RTN4	1705.067871	2076.844238	1923.504517	3107.246094	2849.079834	2517.817139	3040.86377	3425.260986	3167.73584
RTRAF	2704.881836	2720.455566	3145.677246	2690.502197	2886.79248	3040.407471	3458.249756	3123.716064	3447.667725
RUVBL1	5623.603516	3547.871582	4390.991211	4739.75293	4996.827637	4737.380859	6740.621094	6679.786133	7383.832031
RUVBL2	5237.533203	5108	5121.308105	6110.782715	5604.034668	5891.97998	8086.889648	8659.241211	8114.46582
SACM1L	1256.355469	1116.969971	1421.180054	1509.780762	1804.799194	1357.992676	1194.286743	1325.194824	1114.206543
SAFB	539.8731689	872.8065186	893.2185059	572.855835	599.8305054	770.8167114	1036.93811	970.5455322	796.9620972
SAP30BP	2791.822754	2749.554932	2839.34082	3744.29834	3122.483398	4552.325195	2435.896729	2607.239014	2466.574951
SARNP	3169.668945	3005.717773	3255.711182	4243.045898	4267.898438	3936.665039	3628.399902	3787.224121	3551.376465
SARS1	667.1226196	704.8260498	569.3381958	593.7724609	618.4637451	639.739563	920.7625122	1150.637939	730.7445679
SART1	2228.314697	2766.311523	2734.679443	3067.22168	4287.742188	3476.943115	2031.800659	2337.397461	1895.692139
SART3	1584.16333	1469.883179	2728.091553	57557.42188	58112.51953	57389.85938	2197.664062	2380.829102	2097.054688
SBDS	2114.765137	2506.192627	2985.729492	3260.75293	2945.175781	3133.585205	3021.287842	3225.491211	3427.958252
SBF1	685.2250977	251.3789978	793.5514526	901.5739746	853.1484985	950.3902588	902.4898682	674.9915771	787.3746338
SCAF11	1124.233765	1076.523193	1437.882812	1284.747314	1317.884521	1297.900879	841.5394287	807.6015625	1026.996948
SCAMP2	460.1838074	873.0054932	866.2301025	1017.117126	1189.19165	1062.65332	861.7833862	545.6842041	896.5057373
SCAMP3	1165.237915	940.3564453	1215.415283	1297.270386	1386.122681	1171.681763	1056.373657	1473.383545	799.2145386
SCNM1	853.0213623	1049.592773	1075.115356	753.0311279	859.3240967	795.095459	1012.566406	885.4280396	987.8823242
SCO2	619.4532471	0	754.0090332	983.2043457	956.3679199	1155.618286	656.8045044	480.4104004	637.3109741
SCP2	701.5219116	1982.50415	854.369751	1028.914673	1186.492798	1578.090088	1144.173218	931.5577393	1496.915283
SDF4	0	0	705.5334473	837.5717773	1025.81311	843.0405884	737.0404053	900.0039673	756.2892456
SEC13	957.4925537	1093.055176	1148.593506	1419.473389	1366.083008	1229.429932	1443.63623	1243.802979	1028.986816
SEC22B	1199.662354	1243.723633	1796.678467	1714.106201	1972.841431	1750.477417	1657.984253	1581.911377	1588.963989
SEC23IP	452.2252197	381.027832	2288.423096	1022.10083	1867.724243	721.7140503	891.0054932	1677.900635	2186.150391
SEC31A	1640.860718	1784.972046	1245.172607	1676.691895	1693.926025	1912.894287	1869.578613	2108.438232	1849.077393
SEC61A1	2986.33252	3499.762695	3912.132324	5613.858398	5526.352539	6038.374023	3204.640625	4258.193359	4033.563232
SEC61B	843.4916382	989.8366699	1084.838867	999.8630981	1859.012695	1252.674072	1310.930176	1307.80835	1396.751587
SELENOH	1228.515015	1302.880371	1500.752075	1888.038452	2319.161621	1990.272705	1329.68042	1489.150391	1671.791016
SEPTIN11	2437.296631	2292.725586	2669.01709	3762.099609	3767.386475	3652.641113	3725.048096	3618.187988	2978.238281
SEPTIN2	2733.706299	2913.437012	2937.8479	4084.467773	4198.569336	3728.420654	3658.177002	4028.23291	4022.825195
SEPTIN7	2920.690186	3391.831299	3013.843262	3614.905273	4261.142578	3963.738525	3625.873291	3633.971436	3408.394287
SEPTIN9	1827.880371	1602.391479	2252.620361	3132.753906	11449.10352	2849.82373	2470.975342	2602.303223	9893.148438
SERBP1	23120.25586	30874.79883	32171.08008	30383.53711	28767.48828	27468.56445	31199.71094	32328.05273	32905.94141
SERF1A	1505.20752	914.0869751	1158.58374	2961.378662	491.0457153	288.788147	2014.399658	1495.945801	1588.992188
SERF2	5832.709473	6343.503906	5479.583008	7737.645508	10675.08008	10527.08105	9145.53418	10440.36719	10782.87012
SET	10349.06055	10188.46875	10691.36914	4018.098633	3653.458008	4217.573242	5518.212402	4842.245117	4887.156738
SF1	0	517.5670166	0	516.7659302	592.2695923	578.8425903	999.428894	674.5679321	794.4018555
SF3A1	1674.734375	1352.373901	1577.164551	2219.31665	2274.388672	2121.459961	1995.637207	1574.060547	2158.421387
SF3A2	670.8677979	759.4935303	880.4697876	1484.182495	1451.395996	1471.222168	1599.400024	1625.275879	1358.360474
SF3A3	1604.899414	1495.381348	1448.638184	2314.540527	2186.170898	2218.697266	2341.132812	2258.513184	1894.505127
SF3B1	1653.719238	1941.304443	1846.627319	1754.212891	1784.476685	1543.314941	1827.158203	1795.577026	2027.282227
SF3B2	1676.119507	1301.518677	1709.4646	1628.453125	1905.126953	1858.389282	1434.975464	1708.574707	2071.306152
SF3B3	1788.866211	2402.320068	2209.253662	1742.161743	1814.90625	1754.124512	4212.728027	4430.665527	4652.077637
SF3B4	1193.57605	1108.247681	945.3201294	1972.671021	1732.761475	1824.220459	1460.302246	2047.390137	1719.949341
SF3B5	393.3721313	461.3283997	484.7197571	314.8375854	135.6041107	541.8152466	1252.438599	984.4772339	1038.934326
SFPQ	41626.84375	45265.07422	50542.76172	15995.01953	15687.66406	15777.20312	11527.52637	14440.64551	15048.21191
SFSWAP	1203.360352	1317.47998	1383.947998	2177.998047	1791.126221	1888.308105	1661.094116	1824.168335	1327.543945
SGPL1	1449.494629	1518.838623	2016.577515	1890.062378	2080.553955	2004.077148	3171.24292	2166.257568	2992.306152
SH3GLB2	0	0	130.1362	971.2007446	1104.217163	1224.63623	929.9642944	931.0198364	1007.752808
SHMT2	3346.947266	3649.091064	3852.466309	4415.038574	4753.20752	4326.950195	5456.035156	6450.030273	6236.701172
SKIC8	4040.039551	711.4088135	864.0212402	996.0999756	3323.518799	4344.643066	1503.521118	4087.640625	837.7431641
SKP1	4737.341309	3552.1875	4051.465332	4879.842285	4863.529297	5034.573242	8592.15332	8902.048828	8188.800781
SLC16A1	2387.618164	1910.224121	2337.223877	3153.03833	3179.985596	3270.762939	2372.030762	2535.019531	2336.958008
SLC1A5	3192.787598	3484.682129	8255.529297	6425.714844	7452.329102	6781.530762	5887.233887	7248.863281	6314.049316
SLC25A3	1206.006226	1162.489868	1392.129639	2061.703369	2164.479736	2038.348511	1441.775146	1342.002441	1329.18335
SLC25A5	4567.644043	3890.380859	4556.320312	5050.054688	5336.659668	4832.82666	3936.923096	3846.182373	3968.534668
SLC30A7	1349.089355	1387.898071	1334.54126	1430.28833	1519.712158	1381.267212	1414.241943	1308.534668	1638.840576
SLC35F6	227.4487762	0	299.9599609	315.2153015	152.8389587	400.7779541	245.1191559	0	261.6575623
SLC38A2	687.7683716	415.0686035	0	446.326355	446.4873352	477.0749512	155.8320007	295.2831421	477.7936401
SLC39A14	567.4544678	582.9881592	1021.981689	663.5251465	972.2459717	825.2686768	637.6721191	562.5402222	735.7936401
SLC7A5	408.0384521	565.5979004	596.1929321	170.0382538	380.7423706	268.9389038	379.410675	285.7902222	347.7326355
SLFN11	536.6229858	595.6055908	563.0523682	1113.209839	938.878418	1088.375488	832.416626	1237.684937	873.9560547
SLIRP	2022.874146	2326.438721	2162.283203	4468.733398	3651.870605	4192.762695	2798.996826	2979.368164	3024.411377
SLK	647.5631714	675.0812988	750.5205078	888.2993164	809.9382324	824.5700073	843.8304443	1077.310059	782.3228149
SLTM	2509.968994	2252.879883	2536.827881	2798.767578	2905.970459	2738.228516	3411.265137	3594.221191	3390.44458
SLU7	16028.82715	17222.45312	19475.58984	18754.5918	19673.25	22270.88477	11605.22559	14820.96094	21321.63672
SMC1A	1395.591797	1556.852783	1634.49585	3565.877197	3694.516357	2453.576904	1745.181885	2059.339844	2534.770996
SMC2	3759.126465	4007.615234	5327.012695	4988.011719	5411.942383	5577.003418	5662.043945	4658.621582	4776.905273
SMC3	34076.5625	29366.22656	30771.04297	23808.39062	19547.91016	18417.1543	4926.711914	13004.53906	11070.1543
SMC4	3545.34668	3375.331299	4006.636475	4391.351074	4045.310059	4775.838867	3794.375	4008.486328	3825.762939
SMNDC1	1037.769287	873.1877441	1084.164551	2040.856812	1270.092529	1626.488037	1146.990967	1052.16394	1189.015747
S0PIN	831.47229	727.6519165	892.1828613	1047.901123	933.1379395	698.7617188	1009.146179	1241.89917	986.9957275
SND1	1644.608154	1680.355591	1818.600098	1948.965332	2097.932617	2337.833496	2830.099609	2732.089844	2726.455078
SNIP1	562.9542236	1197.71582	937.0618896	1270.38623	1453.676758	1302.140503	1451.435913	1190.951172	1288.825928
SNRNP200	2455.483398	2848.883545	3456.763184	3107.469727	3600.65332	3670.050049	2727.476807	3658.832031	3296.624268
SNRNP27	29029.91406	23982.00781	30823.2832	33768.03906	36178.26172	37296.36328	24578.07812	25177.31641	25589.5625
SNRNP70	2936.272705	3013.095459	3135.763428	3360.575195	3181.361328	3192.835938	2981.749023	2760.926025	3133.284668
SNRPA	1012.232788	1155.216797	1115.009399	1293.085815	1360.452393	1457.310059	883.6152344	1101.369995	1008.886719
SNRPA1	1467.482422	1539.750244	1706.497803	2368.746826	2729.439209	2433.07373	1315.806152	1650.925049	1474.021118
SNRPB	74112.89062	73995.02344	76027.45312	93328.75	101038.5781	100839.5156	84147.14062	81665.90625	83439.77344
SNRPB2	319.1972046	287.8284912	0	358.7857056	532.5932007	580.640686	547.0818481	242.0861206	530.0201416
SNRPC	6056.476562	6843.87207	7146.026855	9867.166016	10629.8457	11279.50781	12502.07031	9804.227539	11019.94434
SNRPD1	2178.030273	2002.507324	2555.023682	4789.829102	4847.290527	5308.066406	3402.14917	3402.907471	3655.118408
SNRPD2	2805.29248	3401.119873	2970.31543	5416.197266	5433.992676	5222.604004	4373.324219	4129.704102	4329.117676
SNRPD3	106523.0859	138019.2188	128835.4453	159058.4688	153119.0469	148066.5	135143.4062	138023.8906	135343.0156
SNRPE	2467.525635	3409.025879	2961.195801	3744.589111	4115.560547	4408.087891	3466.272705	3285.475342	3804.63208
SNU13	1009.482422	1310.066772	1150.044312	5827.198242	5989.623535	5808.220215	1390.354004	1411.556152	1390.759766
SNW1	769.3771362	775.0587769	698.0890503	997.9189453	1066.136475	1181.769775	767.0305786	671.9656982	711.1884766
SPAG9	1620.147583	1901.256348	1545.561646	5291.868652	3336.828613	3750.256104	2470.724365	2704.141357	2945.620361
SPART	906.0663452	757.4967651	895.4650879	1469.330078	1459.174927	1448.422241	828.3153687	544.9191284	899.8081055
SPIN1	58193.8125	56868.13672	55895.66797	60703.58594	59060.77344	56825.29688	54630.19531	51137.55859	48862.19922
SPINDOC	2299.376221	2291.884277	2280.781494	3858.037598	3565.803955	3579.252197	3782.027588	2975.412109	3061.643311
SPTAN1	1222.856812	437.3546753	1697.25354	2166.957031	2347.926025	2277.529297	1362.625244	1513.937256	1527.508911
SPTBN1	652.3411865	539.543396	633.4129639	1657.061279	1825.688477	1385.529053	869.2423096	594.7261353	517.8922729
SPTY2D1	1410.500244	1697.877808	1670.934082	2083.88916	1800.094971	1675.395508	1526.640259	1928.721924	1557.089478
SREK1	2134.295654	1727.933228	1915.430176	2290.904297	2580.6604	2618.126465	1442.329712	1797.353394	2109.469971
SREK1IP1	25397.61133	24852.38867	23741.17969	11625.69434	16065.81152	13249.44434	21520.75977	26231.66406	26002.74609
SRP14	2070.698975	2748.975098	2665.934082	4882.833008	4412.931152	5274.007812	3178.823242	3051.050781	2906.073242
SRP54	4557.318848	5341.696289	5712.124023	6792.679688	5673.01709	987.3876953	5066.727051	5926.61084	5088.241699
SRP68	1286.14209	1523.159912	1548.652588	2485.009766	2333.878418	1825.188843	1890.42334	2273.653564	2424.561768
SRP72	1128.94873	1325.207764	735.2258301	1079.313599	971.5576172	1188.276855	931.9567871	1073.730591	1010.577637
SRP9	2870.605957	2652.881348	2615.806641	5629.951172	6219.945801	6823.448242	3148.01001	3253.983154	3183.336914
SRPK1	328.6459656	249.7263794	424.4180603	557.3495483	739.6975098	618.3672485	346.1693726	400.0335388	275.0470886
SRPRB	993.9942017	957.0163574	976.7380981	1375.006836	1455.883667	1423.724365	987.6708374	1046.356079	975.7426758
SRRM1	6093.044922	6555.956055	6207.423828	2512.969727	4813.645508	2962.024658	3844.279297	4992.417969	5160.433594
SRRM2	2283.608154	2476.415527	2677.415527	6111.422363	4848.70752	5420.331543	2167.599365	2096.950439	2110.245361
SRSF1	7077.702148	7269.503906	8395.919922	8533.240234	8688.525391	8917.96875	7332.661133	7716.824707	7713.307129
SRSF10	1285.951782	1369.885498	1600.443359	1946.387451	2261.852051	2391.450439	1439.822388	1104.900146	1205.683105
SRSF11	8022.87207	10594.85645	10607.52246	10493.9248	11198.64453	10413.98242	10046.18945	9430.62207	9486.453125
SRSF2	42253.42969	47771.07812	48344.59375	65126.40234	64724.66797	68100.17969	54512.42188	55434.09375	58349.82422
SRSF3	39890.44922	40287.35547	46906.62109	40872.71875	39496.62109	42987.05078	30657.91602	34877.89062	34940.32812
SRSF4	9198.603516	9383.416016	12619.89355	14087.84668	13154.02051	14297.26172	10512.53516	10861.94727	10350.11816
SRSF5	1767.983032	1170.779541	1694.130371	2237.4729	1596.496338	2044.204834	1868.970459	1408.88208	1569.044189
SRSF6	1667.442383	1719.369751	1412.995605	2265.621826	1912.690674	1650.424561	1669.245483	1495.193359	1360.066772
SRSF7	3535.540283	3205.678223	3570.789795	4456.222168	4160.094727	4764.856934	2352.194092	2252.780029	2157.122803
SRSF9	1124.189087	1573.060303	1197.082275	1862.073975	1886.572754	1908.812012	1374.550781	1319.391724	1227.414551
SSB	1665.054199	2185.402832	1955.324951	12308.06836	12316.26074	12010.96875	1252.121582	1871.559082	2004.949097
SSBP1	834.5875854	912.7541504	488.4939575	811.7738037	898.5963135	1008.491638	1707.345215	1839.641357	1709.827393
SSR1	1097.276367	938.5776367	1283.722046	1661.072998	1472.921875	1720.286133	1279.640259	1687.309082	1632.1604
SSR4	1432.409912	1442.43689	1003.896851	1909.576782	1458.499023	1787.393799	2624.368164	1915.85083	1403.514526
SSRP1	1316.483398	1235.129395	1178.188232	1198.571167	1239.46582	1394.9552	2633.615723	3039.343018	2497.922363
ST13	1549.472168	1163.371216	1348.004639	1117.929199	1478.315063	1196.140869	2047.289795	1935.076172	1882.029053
STAU1	875.9509277	708.4869385	908.3151245	1619.348633	1666.963867	1718.036621	156.2608643	374.8067627	459.5405273
STEEP1	293.1355591	559.6786499	511.0371704	979.2554321	874.8546753	1208.157959	888.1392822	718.6763306	963.0212402
STIP1	29928.49805	30930.30469	31199.58594	51275.63672	53405.61328	53683.35938	57754.17578	53356.84766	56664.28906
STK38	39771.23438	37709.91406	43886.35547	47765.17188	46953.17969	49292.21875	63225.18359	70663.49219	70084.73438
STK38L	8185.036133	8171.433594	7494.016602	7441.290527	8020.826172	7728.540527	9515.041016	8938.816406	10501.9707
STMN1	1640.551514	1737.368774	2032.000488	1809.314209	1956.054199	2282.480957	2179.470459	2052.992188	2420.176758
STT3A	582.8753662	276.0053711	462.0452271	1334.598145	1632.564697	1255.31958	1157.993164	924.3654785	925.097168
STUB1	5823.508789	5748.777344	5830.570801	9996.928711	10728.43945	10823.75488	9718.770508	9759.5625	10764.92188
SUB1	159497.0156	171232.1875	181469.25	230440.1719	223416.0781	209703.1094	209543.3906	202473.625	224960.5
SUMO1	666.6802979	418.4285278	431.6080627	1080.350342	746.9232178	1079.976318	724.3168335	728.7762451	825.4946289
SUPT4H1	285.6333008	222.0176849	201.7280731	0	0	0	575.477417	547.47052	440.8829651
SUPT5H	3202.831543	2825.733643	3129.158936	1915.663818	1589.048096	1328.349243	2683.450928	2281.649902	2405.971924
SURF4	8843.276367	10617.56348	10553.62109	10290.56055	10136.4668	9987.487305	9862.661133	9421.035156	9361.360352
SYNCRIP	3779.056152	3982.988281	4431.229004	10725.92578	10719.0498	10190.33984	2271.274902	2283.815674	1979.107788
TAB1	568.2730713	2801.224609	893.7120361	4130.255371	1074.792603	1229.292969	1493.993164	3059.564209	2853.454102
TACC3	1164.692749	1336.756348	1120.476807	1301.573364	1308.965576	1471.428955	1606.908081	1456.674683	1503.641602
TAF15	8222.526367	39020.17969	7883.861328	6498.246094	4857.79248	6047.033203	5585.193359	5310.484863	6571.833008
TAF2	2993.371338	2840.191895	2329.571533	513.9198608	2274.779053	891.9291382	1582.268677	1332.444092	1558.886353
TAF4	574.4477539	704.4989014	692.6517944	844.3641357	910.5516357	1107.334473	1150.029785	768.2902832	714.0313721
TAGLN2	2833.98877	2721.257324	3648.509521	3182.070312	3418.71167	3499.802002	4583.334961	4261.203613	5000.506348
TANC2	0	0	0	11209.4375	11512.50195	12169.63867	438.3989258	460.6676025	295.5340271
TARDBP	659.2255859	940.7009888	790.5333252	853.5043945	733.6321411	715.5412598	758.7254028	839.0437622	610.645874
TARS1	647.5509644	990.394104	954.1657715	797.1165771	743.013916	756.6604614	928.7047119	919.0648193	755.005249
TBC1D10B	4857.378418	3403.859375	5280.4375	5973.841797	5469.154297	5819.398438	4961.89502	4454.337402	4857.314453
TBC1D4	175.847229	0	235.3842468	542.0048828	476.8068848	540.2431641	720.1541138	625.5101318	678.3505249
TBCA	849.7694702	678.8823242	901.9008789	631.477417	357.1334534	490.5756836	632.3920898	671.3728027	722.9279785
TCEA1	2256.215088	2159.608887	2407.505371	2313.619141	2494.720215	2555.539551	2553.94165	2904.377441	2510.86499
TCEANC2	1189.269775	1088.87085	1244.243774	1870.848633	2133.187012	1925.182251	1512.313599	1028.460815	1088.663574
TCOF1	5598.811035	5161.511719	5562.966797	5003.836914	4934.665039	4835.240723	4171.953125	3471.128174	3631.845215
TCP1	27984.43359	27883.47461	29897.22852	39342.53125	38320.78125	43168.61328	36748.92188	39688.9375	38364.53906
TECR	3036.229492	3278.550537	3582.05542	5021.397461	5196.101074	5245.652832	3947.305176	4214.651855	3789.53125
TELO2	1529.652588	1941.809692	1959.577026	3387.972168	3327.842041	3426.118164	3351.003418	3028.907959	3072.918945
TES	444.2608032	379.3222046	310.987854	488.115509	273.1593018	335.5386963	458.3851318	485.4479065	553.2229614
TFAM	1675.063965	2013.912964	2037.943115	2272.980225	2195.710449	2111.856934	1914.098999	2108.477539	1924.357544
TFG	2766.38916	2939.804199	3232.456787	4869.083008	5258.586426	5607.072266	5498.131348	5329.080078	5002.59082
