Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
EIF4A2	A2M	A2M	1.631|1.867|1.953	5.451	1.817	3	2.490|2.549|2.552	0.000	0.000	0.000	0.000	0.000	-15.840	0.718	0.942	
EIF4A2	AAAS	AAAS	0.918|0.646|0.667	2.231	0.744	3	0.618|0.568|0.621	0.011	0.034	0.011	0.034	0.011	-14.984	1.236	0.758	
EIF4A2	AAR2	AAR2	0.177|0.286|0.188	0.651	0.217	3	0.451|0.383|0.417	0.000	0.000	0.000	0.000	0.000	-15.840	0.522	0.959	
EIF4A2	ABCE1	ABCE1	1.130|1.348|1.333	3.811	1.270	3	0.614|0.699|0.612	0.034	0.034	0.034	0.034	0.034	-3.340	1.982	0.614	
EIF4A2	ABCF1	ABCF1	0.672|0.640|0.640	1.952	0.651	3	1.012|0.899|0.723	0.000	0.000	0.000	0.000	0.000	-15.840	0.748	0.957	
EIF4A2	ABCF2	ABCF2	0.454|0.558|0.665	1.677	0.559	3	0.928|0.996|1.051	0.000	0.000	0.000	0.000	0.000	-15.840	0.564	0.942	
EIF4A2	ABI1	ABI1	0.430|0.421|0.586	1.436	0.479	3	0.551|0.635|0.577	0.000	0.000	0.000	0.000	0.000	-15.840	0.816	0.959	
EIF4A2	ABRAXAS2	ABRAXAS2	0.373|0.272|0.367	1.013	0.338	3	0.251|0.313|0.263	0.000	0.000	0.000	0.000	0.000	-15.840	1.230	0.860	
EIF4A2	ACACA	ACACA	0.629|0.576|0.648	1.853	0.618	3	0.821|0.822|0.761	0.000	0.000	0.000	0.000	0.000	-15.840	0.771	0.942	
EIF4A2	ACAP2	ACAP2	0.611|0.627|0.680	1.918	0.639	3	0.859|0.851|1.013	0.000	0.000	0.000	0.000	0.000	-15.840	0.707	0.959	
EIF4A2	ACLY	ACLY	2.849|2.712|2.979	8.540	2.847	3	3.692|3.164|3.262	0.000	0.000	0.000	0.000	0.000	-15.840	0.846	0.962	
EIF4A2	ACSL3	ACSL3	0.690|0.536|0.827	2.054	0.685	3	0.518|0.444|0.441	0.023	0.034	0.023	0.034	0.023	-14.060	1.468	0.699	
EIF4A2	ACTA1	ACTA1	2.661|2.191|0.483	5.336	1.779	3	.|.|2.686	0.000	0.000	0.000	0.000	0.000	-15.840	0.662	0.942	
EIF4A2	ACTA2	ACTA2	2.497|2.504|2.612	7.614	2.538	3	2.446|2.213|2.445	0.000	0.000	0.000	0.000	0.000	-15.341	1.073	0.911	
EIF4A2	ACTBL2	ACTBL2	0.714|0.649|1.008	2.371	0.790	3	0.722|5.089|2.574	0.001	0.001	0.001	0.001	0.001	-8.378	0.374	0.818	
EIF4A2	ACTG1	ACTG1	9.880|10.445|11.070	31.395	10.465	3	9.789|9.684|9.913	0.000	0.000	0.000	0.000	0.000	-15.827	1.068	0.902	
EIF4A2	ACTN4	ACTN4	1.852|2.155|2.170	6.178	2.059	3	2.091|2.189|1.963	0.000	0.000	0.000	0.000	0.000	-15.840	0.991	0.929	
EIF4A2	ACTR10	ACTR10	0.306|0.310|0.387	1.003	0.334	3	0.367|0.400|0.491	0.000	0.000	0.000	0.000	0.000	-15.840	0.804	0.957	
EIF4A2	ACTR1A	ACTR1A	1.337|1.092|1.322	3.751	1.250	3	1.408|1.453|1.555	0.000	0.000	0.000	0.000	0.000	-15.840	0.850	0.940	
EIF4A2	ACTR2	ACTR2	0.273|0.416|0.423	1.112	0.371	3	0.399|0.381|0.459	0.000	0.000	0.000	0.000	0.000	-15.840	0.900	0.937	
EIF4A2	ACTR3	ACTR3	0.232|0.205|0.346	0.783	0.261	3	0.414|0.374|0.401	0.000	0.000	0.000	0.000	0.000	-15.840	0.659	0.942	
EIF4A2	ADD1	ADD1	0.364|0.376|0.444	1.184	0.395	3	0.481|0.492|0.438	0.000	0.000	0.000	0.000	0.000	-15.840	0.840	0.942	
EIF4A2	ADD3	ADD3	0.249|0.184|0.404	0.837	0.279	3	0.365|0.460|0.334	0.000	0.000	0.000	0.000	0.000	-15.840	0.729	0.936	
