Protein	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
IGLV3-21;IGLV3-9	0	0	0	0	0	0	0	0	10349.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-15	0	0	0	0	0	0	0	0	26850.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-28;IGKV2-29;IGKV2-30;IGKV2-40;IGKV2D-26;IGKV2D-28;IGKV2D-29;IGKV2D-30;IGKV2D-40	0	0	0	0	0	0	0	0	18848.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3-11;IGKV3D-11	0	0	0	0	0	0	0	0	37883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49	0	0	0	0	0	0	0	0	40300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-20	0	0	0	0	0	0	0	0	99823.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFT56	2801.1	0	3743.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F8	0	0	0	2235.07	3705.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA6	16811.5	20947.6	32968.9	12222.3	17614.5	7483.19	15850.4	15761.4	21677.5	7542.19	11071.3	8186.22	8759.22	8019.22	10002.3	21427.6	22669.6	28582.7	9445.24	15648.4	7383.2	7051.19	4315.11	7106.19
ESYT2	23014.7	23328.7	27303.7	8006.24	11602.4	4955.15	9810.29	9916.31	15753.4	3013.1	3299.1	2576.07	6182.2	5959.19	3747.11	19154.5	18357.5	19583.7	0	1474.04	1478.04	0	0	0
BLTP3B	57178.4	32033.8	43915.2	4763.13	6340.16	4495.12	22799.6	20567.5	31619.9	3756.11	4840.13	3757.1	9378.23	8527.23	11563.3	35459.9	35196.9	35153	0	0	447.021	0	0	0
SHTN1	51472.7	49397.5	58184.8	34277.9	25771.6	10233.3	67683	66089	75053.4	13068.4	17307.6	15612.5	39263.2	39228.2	40818.2	55532.6	54559.8	68268	0	0	0	3469.12	2721.08	2478.08
TMEM223	5280.13	0	0	5775.16	7164.19	0	0	3151.08	0	2512.06	1856.04	0	0	0	0	0	7514.2	7061.2	1792.05	0	0	0	0	0
FAM168B	0	0	9137.42	0	0	0	0	0	0	0	5629.26	0	0	0	0	0	0	10188.5	0	4250.21	0	0	3094.14	0
MEX3A	4447.15	10678.3	4511.16	0	0	0	1022.04	2462.08	2868.12	0	0	0	1104.05	0	0	4033.16	5692.15	5132.22	0	0	0	0	0	0
ILVBL	3711.13	5284.19	9931.32	1828.07	2873.11	2354.09	2669.09	0	0	0	0	0	0	0	0	4295.15	8009.28	4936.17	0	0	0	0	0	0
PLEKHG3	14923.4	15637.6	19223.6	0	0	0	36936.1	32184	45897.3	2577.06	2916.08	2615.07	3543.1	2337.06	3401.1	13729.4	14991.4	17909.8	0	0	0	0	0	0
SH3PXD2B	43034.2	35852	43409.2	9324.24	13994.4	7497.23	63043.8	50287.4	63727.1	5258.17	7308.21	6027.17	48876.4	48694.3	45704.3	42349.3	35058.1	53764.7	0	0	0	0	0	0
NBAS	20977.6	10612.3	10853.3	1258.04	4247.11	4777.24	6466.17	6444.16	9142.25	0	0	0	2531.06	0	0	10565.3	11886.3	17881.5	0	0	0	0	0	0
CCDC66	3002.07	3150.07	8018.33	0	0	991.024	1913.05	0	4771.19	0	0	0	4929.14	3787.16	3718.14	4310.17	4230.11	7878.31	0	0	0	0	0	0
DENND3	5239.14	5918.16	12631.3	0	0	0	7263.19	4040.11	9343.25	0	0	0	2071.06	0	0	4549.13	8245.2	7088.2	0	0	0	0	0	0
TMEM131L	4670.14	3878.11	5726.17	4270.13	8529.27	4165.12	0	0	0	0	0	0	0	0	0	4426.13	0	8486.26	0	0	0	0	0	0
VWA8	20112.5	7880.19	10404.2	1543.04	2722.07	5554.14	3277.09	19211.5	3276.08	0	0	0	0	0	936.023	4506.1	2617.07	7016.22	0	0	0	0	0	0
SBNO1	11847.3	12188.3	20291.6	91571.7	140108	87131.4	15068.4	13452.4	19309.6	3261.08	3807.11	3541.1	10683.3	9667.28	7053.19	83128.4	82710.5	132124	0	0	0	0	3090.08	1656.05
GTPBP10	10151.2	11627.3	13063.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR91	6374.19	5819.18	17102.6	0	0	0	5497.16	5280.15	9376.31	0	0	0	0	1556.05	2022.07	5997.19	8835.28	19287.6	0	0	0	0	0	0
CNOT1	59544.7	57267.6	77815.1	11112.3	21020.6	12114.3	46333.3	39062.1	78169.2	10785.3	14181.4	10937.3	14593.4	17245.4	19105.5	51670.3	72374.1	86495.3	0	0	0	0	0	0
BDP1	0	0	0	2033.06	3817.09	0	0	0	0	0	0	0	0	0	0	5413.2	6219.22	8383.23	0	0	0	0	0	0
