Protein	Empty_1	Empty_2	Empty_3	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
NUDT4B	6760.708	0	0	0	0	0	0	0	0	0	0	0	0	25285.39	0
GATD3B	15893.311	28536.875	55366.676	122103.29	108699.08	151179.9	205564.66	158384.03	274353.94	33612.758	185348.77	133383.08	323893.94	333586.66	347290.25
NBDY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC26	0	0	0	0	0	0	0	0	0	0	0	0	0	56711.6	0
E2F8	0	0	0	139974.36	99414.36	64456.96	0	0	0	0	0	0	0	0	0
UBA6	46932.523	81621.3	105619.93	139543.12	188204.7	126628.41	76335.516	169547.44	111289.9	49328.027	56946.25	45893.07	271456.88	178253.36	242328.12
ESYT2	0	0	0	158857.9	179503.03	157078.83	588416.25	412996.28	657835.5	0	0	0	1190621	379922.62	400912.84
UHRF1BP1L	0	0	0	325799.56	545195.44	500139.3	170922.23	123239	165295.23	0	0	0	1.02E+07	1.06E+07	1.06E+07
SHTN1	0	7550.823	0	409459.88	360361.78	387268.12	194977.61	147786.22	238496.64	0	0	67287.484	148671.58	184501.86	129146.734
ARHGAP10	0	0	0	28536.334	38735.246	21457.018	0	0	0	0	0	0	40340.72	38415.76	16661.195
FAM168B	32607.766	35817.94	34399.766	0	0	0	41946.582	39747.656	48503.75	41452.85	55911.6	51668.457	0	63111.176	39497.26
MEX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12468.116
ILVBL	0	0	0	49697.074	34034.973	65476.797	55492.676	37733.15	71455.95	0	0	13447.968	59787.39	63980.258	88966.79
C1orf226	0	0	0	0	0	0	116038	44374.883	70402.28	0	0	0	0	25774.668	0
PLEKHG3	0	0	0	89546.84	61077.133	83222.45	108107.76	10906.192	39490.07	0	0	0	0	0	11859.727
SH3PXD2B	0	0	0	31664.344	0	0	72939.19	54679.54	41448.633	0	0	0	0	0	0
FAM92A	0	0	0	0	0	0	0	0	19424.38	0	0	0	0	0	0
BCLAF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBAS	0	0	0	23191.703	23104.738	12993.822	120683.72	74253.234	141414.61	0	0	0	179380	91713.47	68608.66
FAM234B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC66	0	0	0	91095.78	108483.95	86262.19	11110.504	21557.672	11061.363	0	18939.18	0	0	14708.433	0
TMEM131L	0	0	0	0	0	0	34961.97	242534.47	141250.28	0	0	0	110905.95	245659.44	48296.273
VWA8	0	0	0	58377.258	104489.94	0	32969.934	0	0	680631.1	1324375.6	1887656.6	17226.947	19588.14	7438.9854
SBNO1	0	0	0	348150.44	396079.53	276615.03	32053.31	0	40557.34	0	0	0	78874.27	31301.205	24243.445
FAM221A	0	0	0	193832.7	144313.2	116773.41	0	0	14998.154	0	0	0	72350.77	84782.55	89630.266
GTPBP10	0	0	0	0	0	0	0	0	0	3805.3665	114696.97	102534.03	0	0	0
WDR91	0	0	0	0	101494.16	0	0	0	0	0	0	4473.705	0	14665.003	0
EFCAB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25423.496
TRAPPC13	0	0	0	17523.701	0	0	0	0	0	0	0	0	59576.156	13228.108	57200.234
CNOT1	0	0	0	1811673.9	1801766.8	1920031.4	430490.25	410099.8	603379.1	7483.689	7909.8574	19932.488	668793.2	490621.22	558230
BDP1	0	23036.127	0	62330.605	21192.953	0	0	0	0	0	0	0	0	0	0
KRT87P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83G	0	0	0	435610.1	903025.3	518389.06	349497.06	329333.56	273073.25	0	0	0	795783.25	828322.2	746344.9
PGP	0	15586.278	7984.91	0	0	0	0	0	13138.017	0	17241.426	24201.715	17587.2	48670.188	37947.246
C5orf51	0	4635.6323	0	41713.957	41738.266	0	0	0	0	0	0	15270.901	24201.443	0	0
ZNF316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBAL3	0	11517.802	24578.387	94739.97	111795.42	115956.89	48470.07	81400.68	118899.37	0	22549.459	58180.695	109791.836	91543.75	108084.98
EPOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCHD1	0	0	0	320244.25	263397.84	350332.47	164996.7	74890.96	111102.6	0	0	25250.135	266701.03	183287.67	121364.56
RIMBP3C	0	0	0	0	0	33235	0	0	0	0	0	0	0	0	0
CCDC85C	0	0	0	211050.12	223212.9	378452.03	506254.56	470125.47	618517.56	0	0	0	284880.7	236091.38	227960.05
OR5H1	0	0	0	189177.88	0	0	0	0	0	0	0	0	27068.652	0	0
BTBD11	0	0	0	16019.693	0	0	6078.72	8446.764	0	0	0	0	0	0	0
ZSWIM8	0	0	0	34985.56	26792.451	59041.336	17210.207	41936.97	42156.69	0	0	0	42084.008	12883.116	0
ARHGAP32	0	0	0	0	42262.72	38175.324	156064.53	103877.12	179826.95	0	0	1914.334	0	24719.434	0
TBKBP1	0	0	0	271588.22	378830.88	402823.97	46269.39	43102.188	101921.13	0	0	0	571877.6	428101.12	477897.28
POM121C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF850	0	0	0	74518.625	136724.55	112999.28	0	0	0	0	0	0	0	0	0
ZBBX	0	0	0	0	0	0	0	0	0	0	0	0	3452.3596	0	0
ZNF724	0	0	0	48746.707	44740.81	68869.06	0	0	0	0	0	0	0	0	0
FAM171A2	0	0	0	0	0	0	323513.03	216908.94	397043.9	0	0	0	34293.457	56858.3	64928.418
PHF20L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPGP15	0	0	0	0	0	0	0	0	0	8872.491	0	0	0	0	0
NUDT19	0	0	0	0	15786.7295	13962.34	0	0	0	72651.125	199314.58	164549.66	0	0	0
ZNF99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIF4GD	0	0	0	0	41987.24	0	0	0	0	0	0	0	0	0	0
MYO9A	0	0	0	365065.7	215449.22	253555.36	418623.75	375320.66	564306.6	0	0	0	95522.164	39601.203	19648.762
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0	0	346325.8	271207.28	308013.7
ZNF814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABGAP1L	0	0	0	39530.61	108107.445	44928.797	28118.578	14512.916	40611.51	0	0	0	1219501.5	892270.44	1062656
GPR89A	0	0	0	0	0	0	47614.4	0	76968.35	0	0	0	49863.098	34940.94	42522.027
SHISA8	0	0	0	0	0	0	92637.375	92776.6	88757.65	0	0	0	56251.418	54434.027	69528.695
WASH3P	0	0	0	0	0	28865.814	0	0	0	0	0	0	0	0	0
PRRT4	0	0	0	0	0	0	0	0	0	0	0	0	28683.344	16317.217	22095.422
ZNF587B	0	0	0	54054.594	14867.019	0	0	0	0	0	0	0	0	0	0
NACA	0	0	15989.597	1601240.8	1083665.2	976509.9	695820	735764.44	712393.8	85329.99	133416.77	134166.72	665096.8	386084.47	632618.75
CNK3/IPCEF1	706.8635	1745.7505	3623.8408	2887.0757	930.1106	0	0	0	0	7943.3164	0	9688.725	0	0	2969.1355
STMND1	0	0	0	0	0	0	0	0	0	0	9868.905	0	0	0	0
DNASE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPS	22950.012	28838.363	21927.402	26533.633	170136.88	149554.22	146746.22	69992.42	38837.973	19063.53	110953.44	33582.04	186665.31	115858.04	138732.78
KIF2A	0	0	0	35762.95	84584.06	49532.227	134278.98	58687.625	77601.37	0	9303.438	0	67673.74	83975.26	102496.6
DDX39A	40471.64	29108.91	28712.592	92743.86	169192.34	145727.72	309330.78	242016.97	340260.88	51202.15	177384.95	190575.31	241629.7	354856.38	296466.06
PDLIM1	0	17407.05	7492.5146	443446	593276.25	602489	211825.61	160019.69	238200.58	0	12124.02	30333.477	335256.6	386062.2	424191.1
ACOT7	270068.78	282251	390459.56	522700.38	931986.3	822766.8	1173677.9	942173.7	1155118.8	386791.25	598036.2	681548.3	1359081.9	1501489.5	1536609.1
MYO1C	0	0	0	90450.16	251268.17	252396.31	587116.75	513408.06	424230.7	0	11825.282	42143.9	593487	262030.84	158917.14
SNAP23	19074.08	13783.847	11735.219	111000.16	73854.82	59489.746	2360479.5	2515651.5	2488418.5	35470.004	0	36389.727	1241012.6	1460189.8	1266083.9
AIP	29925	21028.033	28420.697	27925.355	78703.13	68224.086	162735.45	154228.7	152905.64	13637.529	74229.875	63103.344	110406.42	129987.375	113303.89
GTPBP1	0	0	0	315532.34	357643.34	262718.62	292082.72	155979.05	188354.86	0	0	212331.05	362552.03	277368.75	319174.2
KCNK1	0	0	0	0	0	0	0	0	0	0	0	0	33677.766	20033.318	28192.484
STXBP3	0	0	0	46204.49	45447.605	53133.43	595470.56	431669.56	589376.4	0	0	10458.725	87185.08	174320.81	97114.23
SMAP	27983.863	48226.59	39397.72	149638.67	178246	144379.44	72871.484	62986.133	63188.125	18482.246	71713.3	75448.11	87210.33	77052.83	80867.2
RAB27B	0	0	0	64344.613	0	0	143474.78	145555.5	166723.36	0	0	0	212980.44	252772	264098.75
AP3B1	0	0	0	323408.6	85180.49	69945.4	193517.64	146499.28	99408.875	38158.78	138899.11	119182.016	163128.19	278624.62	217643.5
APBB1	0	0	0	2506200.2	2645682.5	2519973.5	2355352.5	2314813.5	2517695.5	0	8014.9614	0	1.09E+07	1.12E+07	1.21E+07
NDUFS8	0	0	0	42121.594	28572.75	30234.467	15845.019	18098.055	16059.722	87023.05	98578.44	56321.586	23408.494	22970.15	18241.703
NFKBIE	0	0	0	236027.19	418927.44	274962.28	11972.147	41255.887	54882.027	0	0	0	272930.66	227788.75	283172.6
PSMD11	13133.057	0	0	630346.25	754203.3	636077.6	205991.92	232660.08	317256.1	10318.951	0	6790.592	234903.22	574155.06	225870.34
PSMD12	30336.037	52482.01	31028.912	169009.22	168943.94	119047.25	287911.94	318916.25	302990.16	10458.552	18748.635	91206.26	204270.22	218640.88	168413.1
PSMD9	46400.562	23773.7	18090.387	0	0	0	38931.957	43832.305	43844.793	45238.87	61644.934	79301.734	36877.74	109548.69	26270.748
ATOX1	0	9548.044	11799.197	0	0	0	17062.938	0	0	0	0	12360.435	0	0	0
MEN1	0	0	0	38260.527	13138.601	16094.535	0	0	0	0	0	0	0	0	0
CBX4	0	0	0	118906.11	61737.895	47411.36	0	0	0	5387.375	0	0	0	19376.902	0
PGRMC1	8645.375	0	0	154625.94	235115.47	155293.47	455552.97	444490.94	404034.38	25771.723	25565.664	27092.625	618356.06	531364.25	560712.9
SUPT5H	3578.249	16823.824	0	230092.67	354209.12	342254.84	202024.1	23744.219	270656.84	23871.055	58318.45	89443.7	128333.75	187536.67	248160.95
TAF4	0	0	0	33106.344	32874.07	0	0	0	0	0	0	0	0	0	0
DFFA	15818.664	26912.379	0	68019.79	144998.8	129051.586	32366.229	26204.293	0	27629.127	24557.768	21719.867	46355.734	45828.31	45777.547
HIP1	0	0	0	0	0	14181.776	0	0	0	0	0	0	0	0	0
CLIC1	11141.424	0	0	0	11724.289	0	41429.336	34677.5	64321.64	63322.977	23980.82	45028.152	27074.467	57998.914	51551.395
EIF3F	86242.84	95013.06	84577.625	305989.94	335310.44	359341.6	225004.58	222375.31	237321.94	104126.17	83147.67	99793.055	251106.19	265952.6	221488.53
CACNB4	0	0	0	0	0	0	44919.73	0	0	0	0	0	0	0	0
WWP2	0	0	0	8018.1387	0	0	243254.4	49999.15	138534.73	0	49263.387	12268.872	263538.38	434365.28	17811.498
CDC7	0	0	0	28739.213	0	11043.296	0	13021.8125	16847.885	0	0	0	0	0	0
PDHX	0	0	0	0	0	0	0	0	0	1036170.5	1698767.1	1098605.8	0	0	0
QSOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTN6	0	0	0	0	0	0	0	0	0	20104.78	23519.504	17919.027	26466.428	17034.629	0
SLC33A1	0	0	0	0	18832.254	0	18623.344	0	25040.31	0	0	0	0	26253.936	0
IPO5	13415.613	13756.891	42843.53	1223656.1	991012.5	798512	1104443.5	815978	1027490.7	152061.56	106289.45	627450.6	1896903.8	1449243	1260428.6
POLRMT	0	0	0	0	26548.648	22727.273	11450.744	13515.2705	0	24907.35	256637.94	356317.06	44846.863	10909.879	46500.9
EEF2K	0	0	0	58344.367	89343.44	85727.984	0	0	0	0	0	0	47690.58	37978.5	0
SAP18	0	0	0	0	0	0	0	14058.722	16109.601	0	0	0	0	0	0
IGF2BP3	0	5936.3457	5636.902	347716.2	363279.44	338829.2	332283.97	271375.7	305704.06	0	28773.098	70593.78	522756.72	385691	371635.8
DNM1L	0	0	0	163477.97	115128.04	72972.12	85290.31	53976.695	54654.26	0	0	0	204908.16	149178.3	219033.03
RTCA	37666.61	168386.53	27409.457	151507.14	165062.98	152553.9	77745.41	99444.91	48222.688	18384.922	19934.502	13096.447	258828.58	255689.19	158221.22
PIK3C2A	10230.371	28789.469	0	530993.56	514730.94	709960.1	551831.75	522479.34	623809.2	16860.225	37348.22	14869.391	570891.9	461767.7	530977.94
IFRD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R2	11216.045	0	0	0	0	20165.543	590176	682363.8	887940.5	0	0	0	0	32928.31	47756.387
MANBA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAF5	0	0	0	42878.336	42497.22	42868.79	33463.94	29041.83	40908.5	0	0	1276.604	4084.7622	0	4749.557
PLOD2	0	0	0	0	0	0	0	18396.736	0	0	0	0	0	0	0
EXOC5	0	0	0	68238.3	20155.572	0	40697.723	142122.47	108693.05	0	0	0	593797.56	1612833.2	971067.9
NDUFA4	20473.963	26548.43	25086.29	0	0	0	0	0	0	31218.203	44736.78	49006.03	26782.088	0	37588.14
PSMD14	0	0	0	95354.375	35170.586	89612.016	97252.64	75471.18	59148.273	0	0	0	126458.516	63222.484	114327.07
KPNA3	0	0	10140.58	46638.598	86538.375	109642.016	68169.78	68802.58	83936.56	0	0	28631.928	42018.754	46195.066	47027.688
STK25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	22974.129	30653.836
PES1	0	0	0	90218.305	84880.61	64467.043	40875.453	0	28770.512	0	0	11814.836	12246.895	5662.6514	38433.844
EBAG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPHOSPH10	0	0	0	35678.574	41324.848	57373.67	0	0	0	0	0	0	0	0	0
NOP56	20895.5	24099.682	19210.973	265450.3	214954.33	280144.2	306200.75	317388.47	210881.98	86730.92	104616.58	114163.8	200909.1	180148.53	198621.28
DDX3X	671878.94	768854.1	625432.94	1.29E+07	9111026	1.05E+07	5645619.5	5667573	5749630.5	966573.6	1306722.6	1597913.1	1.13E+07	1.08E+07	9970010
PODXL	0	0	0	0	0	0	0	0	0	0	0	0	73088.79	494526.7	238143
PEX7	19723.543	30874.514	0	0	6049.8174	60133.81	0	59125.734	0	0	38985.54	0	98256.375	18851.113	77184.625
KPNA4	0	0	0	20257.158	22587.35	0	0	0	0	0	0	0	0	0	8764.256
NFIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	96794.41	251761.94	79452.13	6043.506	29605.445	0	0	0	0	17686.107	9048.141	9884.66
PPP6C	0	0	0	27607.479	0	10897.25	0	0	13969.012	5729.627	0	0	0	32024.09	0
PIK3C2B	0	0	0	69439.086	71786.805	40550.54	20037.656	0	37483.11	0	0	0	94759.54	89323.734	97362.56
MAN2B1	0	0	0	0	0	0	0	4344.8813	0	0	0	0	0	0	0
UBE2C	0	0	0	0	22545.025	0	0	0	0	0	0	0	0	48500.86	0
ACACB	3639261.8	4460183.5	5449471	2753040.5	2134722.2	2458932.2	2141980.2	2184561.5	1755480.8	1736425.9	3338204	2246229	4861649	3944804	4304681.5
PDXK	0	0	0	0	0	34651.027	0	0	0	0	0	0	48471.5	0	0
SCD	0	0	0	0	0	0	27834.96	28218.277	16573.406	0	0	0	0	15521.486	11550.678
ARID1A	6823.1367	11536.637	0	69224.625	37516.547	18650.766	18728.6	0	0	0	0	0	0	17445.178	81515.53
SOCS7	0	0	0	0	0	0	0	8700.857	86000.82	0	0	0	0	0	0
C2CD2L	0	0	0	0	23831.414	0	251484.02	77782.5	213967.92	0	0	0	24086.64	0	21215.488
NEMP1	0	0	0	0	4660.632	0	22622.645	0	17368.742	0	0	0	0	23527.59	0
ASTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX2	0	0	0	25155.105	0	0	0	0	0	0	0	0	0	0	229597.25
DPYSL4	0	0	0	0	0	25741.438	0	14125.607	0	0	0	0	60095.984	0	0
TRAFD1	0	0	0	20395.219	11167.336	0	0	0	0	0	0	0	0	0	0
GAPDHS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAB1	0	0	0	0	0	0	0	0	0	19380.035	10328.829	11098.367	0	0	0
UBFD1	23208.16	103689.47	25147.29	192422.33	240820.5	310226.06	90309.53	87277.2	96689.89	38665.58	54641.527	67343.2	313738.16	455113.8	306876.22
CIT	0	0	0	57463.406	90593.64	192195.38	76700.69	33819.434	76208.19	0	0	0	0	0	0
COPE	0	0	0	0	0	0	0	0	6682.741	0	0	0	0	0	0
CTDSP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF1AY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTY	0	0	0	0	0	0	0	0	36591.97	0	0	0	0	0	0
CDC42EP2	0	0	0	0	0	0	16834.979	0	31287.33	0	0	0	0	0	0
AP3D1	0	0	0	555516.2	540749.44	575198.8	613135.56	483837.5	600419.25	0	30090.79	83287.2	504534.9	538667.06	509665.38
CCS	39903.266	0	42898.016	0	0	0	0	0	0	0	0	0	0	0	0
ZNF195	0	0	0	111473.65	74887.984	99584.5	0	0	0	0	0	0	0	0	0
ABLIM1	0	0	0	53194.066	0	0	175899.56	148727.17	77110.8	0	0	0	48533.332	22138.715	39766.332
DVL1	0	0	0	436483.1	639249.25	507423.7	323292.16	294964.5	380817.7	0	0	0	330503.84	309845.72	290605.72
DVL2	0	0	0	4180777.8	4429677.5	4282852.5	2339854.5	1494017	1948535.8	41779.84	98163.984	79816.99	1260136	1573465.8	1271734.8
CHD1	0	0	0	339682.38	334453	323907.62	131009.39	92800.03	114764.914	55520.93	170310.08	84290.52	280798.28	180994.47	202061.78
CHD2	0	0	0	17857.38	37021.04	17921.871	0	0	0	0	0	0	0	0	0
GOSR2	0	8604.316	0	0	0	0	19137.652	13591.961	0	0	0	0	15660.422	11447.281	50699.88
IRS4	62014.93	43230.258	224114.84	2789970.5	2931535.8	2919620	1.45E+07	1.31E+07	1.53E+07	138966.1	379024.97	516036.66	5051233	5829342.5	5230733.5
TOR1A	0	0	0	0	0	0	0	0	0	0	0	0	6511.877	0	0
TOR1B	0	0	0	0	0	0	30912.762	31261.014	0	0	0	0	0	0	0
STX16	0	0	0	10509.189	11407.836	0	0	6948.1943	7682.999	0	0	0	37852.953	29919.193	15435.179
ADAM10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53I11	0	0	0	0	0	0	37386.336	34563.727	44425.746	0	0	0	0	59127.793	0
KMT2D	0	0	0	587928.44	567679.44	575101.6	0	0	0	0	0	0	0	0	0
ZNF197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APAF1	0	0	0	87131.28	81619.234	59718.367	0	0	0	0	0	0	14918.152	8010.0977	3766.4392
RIOK3	0	0	0	0	17794.436	0	0	0	0	0	0	14592.18	0	0	0
MAP2K7	0	0	0	0	0	0	0	0	0	0	0	0	20222.996	0	0
ACOT8	0	0	0	0	0	0	0	0	26285.012	0	0	0	15306.233	22306.97	0
CDIPT	0	0	15979.075	73570.49	89836.59	84192.77	68676.12	48929.984	64227.055	0	0	28905.994	76891.78	90752.25	50374.53
PDCD5	0	0	0	303225.22	230558.5	261650.11	0	0	75277.484	0	0	0	192801.39	237327.56	174146.92
PRMT5	0	8022.6113	0	30659.59	125899.67	41951.836	104870.66	91771.33	70173.37	0	0	0	23732.39	0	9785.482
SLC9A3R1	11519.024	15024.784	0	0	55640.727	43976.625	62469.758	52051.348	65452.92	0	0	0	1054076	1055064	1231016
CHEK1	0	0	0	21760.174	37573.805	43109.16	0	0	16417.543	0	0	0	0	16301.117	12516.559
TNFRSF10B	0	0	0	66398.46	34587.59	31026.738	112896.836	124564.64	132373.3	0	0	0	137627.17	214235.03	109761.31
TCERG1	0	0	0	363883.2	249517.47	211947.36	0	0	0	0	0	0	69430.64	0	0
NDC80	0	0	0	73638.4	139727.19	76257.25	40942.387	32257.658	75452.56	0	0	0	93876.92	109638.875	54349.562
NRP1	0	0	0	0	0	0	16142.518	0	0	0	0	0	0	0	0
TNPO2	0	0	0	0	0	0	0	0	10963.678	0	0	0	0	0	0
UNC13B	0	0	0	0	0	0	76185.375	122645.445	79518.984	0	0	0	317832.2	589826.06	501254.6
POLR3A	0	0	0	19092.01	81039.68	58293.055	0	52052.426	0	0	0	0	0	6407.6494	0
PSMA7	0	0	0	0	0	0	23075.13	0	0	0	19155.518	0	0	0	0
SCAMP3	0	0	0	52260.977	49642.176	33173.133	254768.52	193496.88	220805.69	0	0	18636.055	1056225.9	1062079.1	1072694.2
PHYH	0	0	0	57572.164	0	0	0	0	0	0	0	0	0	0	0
BACH1	0	0	0	280237.75	307351	272190.62	86359.516	0	28373.395	0	0	0	62579.457	169150.47	194115.83
BCKDK	0	0	0	0	0	0	0	0	0	36786.22	92635.1	179950.92	0	0	0
MGST3	0	0	0	14223.989	18972.535	54597.188	14287.004	12328.922	15982.678	0	12558.094	22714.982	28564.3	61252.613	48292.92
GIPC1	0	0	12263.432	44644.82	39920.332	36120.613	9807.924	142952.8	204313.62	4930.718	0	0	30033.727	111923.13	75756.44
IKBKB	0	0	0	0	179005.9	116596.99	0	0	0	0	0	0	0	0	21893.824
RGS12	0	0	0	0	14881.931	0	117762.9	119576.016	166896.48	0	0	0	18353.314	15724.254	34227.953
TIMM23	0	0	0	0	0	25325.951	0	0	112242.05	40555.79	32590.945	37044.094	0	52587.363	0
HAT1	38965.387	49660.344	60490.344	947677.8	1511038.4	1402067.8	157819.6	199669.84	201092.25	21587.33	99580.016	70962.336	303713.22	325543.44	288124.75
CASK	3009.9395	0	0	98323.49	53689.395	49223.902	499811.12	529436.9	520220.9	0	0	6600.458	180030.31	197821.53	61084.695
PLD2	0	0	0	0	28538.27	19877.225	0	0	0	0	0	0	0	49880.5	0
MYL12B	13926.676	9370.402	13974.791	51962.555	110268.02	74028.9	84645.734	102022.75	70921.875	52626.63	71453.73	88719.98	134856.92	99034.125	97864.77
HGS	0	0	0	15272.141	25046.967	0	0	0	0	0	0	0	0	0	0
AURKA	0	6570.9424	5487.4565	25862.42	39478.836	22520.09	45504.61	63041.42	70553.39	0	0	0	43039.11	11853.171	65524.58
RAB29	0	0	0	0	0	0	0	0	0	0	0	0	0	61815.844	23421.312
CLGN	0	0	0	0	0	0	0	0	22583.418	0	0	0	0	0	0
VPS26C	0	0	0	0	47630.44	89589.01	42530.555	43313.79	70788.48	0	0	0	50603.094	51589.723	76003.45
PPP1R12A	0	0	0	20867.04	90842.09	5399.9062	0	0	0	0	0	0	0	25005.504	0
SLC27A2	0	0	0	0	0	12127.889	2667.869	0	0	0	0	0	27160.871	0	0
GAK	0	0	0	309238	512052.06	536249.6	134090.03	149229.88	239108.3	0	0	0	286813.84	442359.6	250483.89
HNRNPDL	66184.08	136312.8	71129.64	523106.84	478118.9	618008.5	368598.38	444143.25	315944.56	104216.05	2112736.5	241968.1	412884.88	376547.8	316958.5
XPO1	0	20661.438	0	512354.44	552379.7	497381.75	375579.94	418279.22	477369.8	93897.33	100039.52	126035.83	656665.3	535550.4	607691.5
BTAF1	0	0	0	249966.38	132606.75	172063.38	0	0	18872.12	0	0	0	35121.805	48960.203	0
ARHGEF10	0	0	0	15504.608	39085.69	35768.895	8088.868	8491.728	0	0	0	0	186483.72	123112.445	149923.78
ZNF609	0	0	0	0	23457.92	32257.09	0	0	0	0	0	0	0	0	0
ZNF646	0	0	0	0	0	0	9756.239	0	0	0	0	0	0	0	0
SPTBN2	0	0	0	23738.5	29939.064	23957.072	713183.6	818676.4	960918.44	234423.53	0	0	14099.243	0	14441.947
MAST4	0	0	0	55042	49471.965	53645.656	0	0	0	0	0	0	0	0	0
SEC16A	9298.887	0	0	1827899.6	2016285.4	1952798	864111.56	719415.56	820848.1	0	16930.973	35089.598	1429752.6	1198001.8	1446618.6
PLXNB2	0	0	0	0	64132.11	15129.231	261769.73	247431.61	277314.72	0	0	0	185793.8	181821.64	158358.55
AREL1	0	0	0	0	0	0	17372.318	20969.676	212101.27	0	0	0	0	9445.828	0
KHNYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2SURP	2971.7961	0	47973.414	1549359	1847048.2	1479335.1	182310.33	176660.42	119868.77	206966.7	217568.5	210226.03	426716.88	178361.33	330498.06
SETD1A	0	0	0	186961.73	364823.88	369818.4	0	0	0	0	0	0	0	0	0
KDM6B	0	0	0	0	0	52513.72	0	0	0	0	0	0	0	0	0
SYNJ2	0	0	0	451295.47	161930.6	254439.89	291801	269607.53	476250.9	0	0	0	65013.38	79680.89	100599.55
ZBTB39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GARRE1	0	0	0	14999.197	10042.308	8490.326	91973.55	0	157630.92	0	0	0	0	20419.045	38283.02
PFAS	702322.8	874140.75	671423.94	1453818.2	1543053.2	1622612.8	770034.4	1007224.4	775485.4	524891.6	468558.53	532640.3	2419023.8	1123587.8	1531949.8
DCLK1	0	0	0	23825.957	0	13028.011	0	0	0	0	0	0	13164.854	0	0
CEP290	0	0	0	1143794.1	1045706.56	1280357.1	0	0	5771.9033	0	0	0	17711.225	46634.695	19094.379
ANKRD28	0	0	0	106207.266	204859.6	137557.14	0	0	4328.7754	0	0	0	13811.255	0	0
ARHGEF11	0	0	0	2403853.2	37358.125	0	92965.06	162362.62	63443.785	0	0	0	0	6064.0166	0
ZNF536	0	0	0	291503.38	528407.6	386005.44	0	0	9885.312	0	0	0	0	10684.351	11713.552
PRORP	0	0	0	30741.654	18548.266	18936.31	12271.74	0	16311.096	159340.52	354564.7	466228.78	17700.996	0	12310.082
CHUK	0	0	0	35703.13	44641.645	7455.891	0	0	0	0	0	0	0	0	0
NPC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEGS1	0	7225.7617	8095.6265	0	0	40012.625	0	23967.61	0	0	0	0	44327.055	31070.734	62963.68
SCAMP1	0	0	0	0	0	0	126974.16	125507.83	88626.67	0	0	0	2184723.5	2688154	2782462.8
SCAMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	41833.273	19111.291
ARPC1B	0	0	0	20103.787	18369.104	17346.979	18698.564	24088.062	17885.42	0	0	0	18975.559	13300.09	21342.785
ARPC2	0	0	0	0	0	0	0	0	42093.734	0	0	0	0	0	0
ARPC3	0	0	0	0	0	0	82974.75	42796.766	95123.51	0	0	0	0	0	0
BET1	31581.27	36909.58	22271.719	0	76781.94	49574.96	63484.61	75818.36	63824.99	21567.652	38767.67	36210.668	119019.48	97811.086	105242.95
POLR1C	0	0	0	0	0	0	0	0	0	4881.7607	0	0	0	0	18469.826
TRIM24	0	0	0	118244.984	179454.02	156428.31	0	0	0	0	0	0	0	0	0
PGRMC2	0	0	0	45683.125	46056.39	50366.047	132683.17	160810.56	227009.12	5718.8843	0	9851.461	257953.42	355967.16	236318.27
